id,uname,cname,ucas,duration,qualification,entry,created_at,updated_at,universities_id,ucasletters_id,url
410,The University of Aberdeen,Philosophy and Sociology,VL53,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.064490,2016-08-03 20:26:02.064490,,,http://www.abdn.ac.uk/study/courses/undergraduate/VL53/
411,The University of Aberdeen,Philosophy and Theology & Religious Studies,VV65,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.077110,2016-08-03 20:26:02.077110,,,http://www.abdn.ac.uk/study/courses/undergraduate/VV65/
412,The University of Aberdeen,Philosophy with Music Studies,V5W3,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.088542,2016-08-03 20:26:02.088542,,,http://www.abdn.ac.uk/study/courses/undergraduate/V5W3/
413,The University of Aberdeen,Physics with Complex Systems Modelling,F390,5 Years,MPhys,ABB Typical offerAAAB Typical offer,2016-08-03 20:26:02.100628,2016-08-03 20:26:02.100628,,,http://www.abdn.ac.uk/study/courses/undergraduate/F390/
414,The University of Aberdeen,Physics with Geology,F3F6,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:26:02.114823,2016-08-03 20:26:02.114823,,,http://www.abdn.ac.uk/study/courses/undergraduate/F3F6/
415,The University of Aberdeen,Physics with Modern Languages,F3R4,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:26:02.127874,2016-08-03 20:26:02.127874,,,http://www.abdn.ac.uk/study/courses/undergraduate/F3R4/
416,The University of Aberdeen,Physics with Philosophy,F3V5,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:26:02.143170,2016-08-03 20:26:02.143170,,,http://www.abdn.ac.uk/study/courses/undergraduate/F3V5/
417,The University of Aberdeen,Plant and Soil Science,CD27,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:26:02.155800,2016-08-03 20:26:02.155800,,,http://www.abdn.ac.uk/study/courses/undergraduate/CD27/
418,The University of Aberdeen,Politics and International Relations,L240,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.167960,2016-08-03 20:26:02.167960,,,http://www.abdn.ac.uk/study/courses/undergraduate/L240/
419,The University of Aberdeen,Politics and Sociology,LL23,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.179988,2016-08-03 20:26:02.179988,,,http://www.abdn.ac.uk/study/courses/undergraduate/LL23/
420,The University of Aberdeen,Politics and Theology & Religious Studies,LVG6,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.192256,2016-08-03 20:26:02.192256,,,http://www.abdn.ac.uk/study/courses/undergraduate/LVG6/
421,The University of Aberdeen,Psychology and Sociology,LC38,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.206858,2016-08-03 20:26:02.206858,,,http://www.abdn.ac.uk/study/courses/undergraduate/LC38/
422,The University of Aberdeen,Psychology with Counselling Skills,C8B9,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.220267,2016-08-03 20:26:02.220267,,,
423,The University of Aberdeen,Psychology with French,C8RC,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.236631,2016-08-03 20:26:02.236631,,,http://www.abdn.ac.uk/study/courses/undergraduate/C8RC/
424,The University of Aberdeen,Psychology with French,C8R1,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:26:02.252053,2016-08-03 20:26:02.252053,,,http://www.abdn.ac.uk/study/courses/undergraduate/C8R1/
425,The University of Aberdeen,Psychology with Gaelic,C8QM,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.266909,2016-08-03 20:26:02.266909,,,http://www.abdn.ac.uk/study/courses/undergraduate/C8QM/
426,The University of Aberdeen,Psychology with Gaelic,C8QN,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:26:02.279893,2016-08-03 20:26:02.279893,,,http://www.abdn.ac.uk/study/courses/undergraduate/C8QN/
427,The University of Aberdeen,Psychology with German,C8RF,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.292948,2016-08-03 20:26:02.292948,,,http://www.abdn.ac.uk/study/courses/undergraduate/C8RF/
428,The University of Aberdeen,Psychology with German,C8R2,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:26:02.306972,2016-08-03 20:26:02.306972,,,http://www.abdn.ac.uk/study/courses/undergraduate/C8R2/
429,The University of Aberdeen,Sociology and Theology & Religious Studies,LVJ6,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.328243,2016-08-03 20:26:02.328243,,,http://www.abdn.ac.uk/study/courses/undergraduate/LVJ6/
430,Abertay University,Biomedical Science,B901,4 Years,BSc (Hons),CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.342912,2016-08-03 20:26:02.342912,,,http://www.abertay.ac.uk/courses/ug/biosc/
431,Abertay University,Business Management,N1N2,4 Years,BA (Hons),CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.355599,2016-08-03 20:26:02.355599,,,
432,Abertay University,Civil and Environmental Engineering,H3H3,4 Years,BEng,CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.367987,2016-08-03 20:26:02.367987,,,
433,Abertay University,Civil and Environmental Engineering,H2H2,5 Years,MEng,BBC Typical offerAABB Typical offer,2016-08-03 20:26:02.380153,2016-08-03 20:26:02.380153,,,
434,Abertay University,Civil Engineering,H202,3 Years,BSc (Hons),CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.394280,2016-08-03 20:26:02.394280,,,http://www.abertay.ac.uk/studying/ug/be/
435,Abertay University,Computer Arts,GW42,4 Years,BA (Hons),BBC Typical offerAABB Typical offer,2016-08-03 20:26:02.403949,2016-08-03 20:26:02.403949,,,http://www.abertay.ac.uk/courses/ug/comparts/
436,Abertay University,Computer Game Applications Development,G450,4 Years,BSc (Hons),BBC Typical offerAABB Typical offer,2016-08-03 20:26:02.415867,2016-08-03 20:26:02.415867,,,http://www.abertay.ac.uk/courses/ug/cgad/
437,Abertay University,Computer Games Technology,G470,4 Years,BSc (Hons),BBC Typical offerAABB Typical offer,2016-08-03 20:26:02.429038,2016-08-03 20:26:02.429038,,,http://www.abertay.ac.uk/courses/ug/comopgamestech/
438,Abertay University,Computing,G400,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.440293,2016-08-03 20:26:02.440293,,,http://www.abertay.ac.uk/courses/ug/computing/
439,Abertay University,Criminology,M9M9,4 Years,BA (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.452798,2016-08-03 20:26:02.452798,,,
440,Abertay University,Forensic Sciences,F410,4 Years,BSc (Hons),CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.464823,2016-08-03 20:26:02.464823,,,http://www.abertay.ac.uk/courses/ug/forsc/
441,Abertay University,Game Design and Production Management,G452,4 Years,BA (Hons),BBC Typical offerAABB Typical offer,2016-08-03 20:26:02.476574,2016-08-03 20:26:02.476574,,,http://www.abertay.ac.uk/courses/ug/gdpm/
442,Abertay University,Nursing (Mental Health Nursing),B760,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.490482,2016-08-03 20:26:02.490482,,,http://www.abertay.ac.uk/courses/ug/mhn/
443,Abertay University,Psychology,C800,4 Years,BSc (Hons),BBC Typical offerAABB Typical offer,2016-08-03 20:26:02.504165,2016-08-03 20:26:02.504165,,,http://www.abertay.ac.uk/courses/ug/psych/
444,Abertay University,Psychology and Counselling,C843,4 Years,BSc (Hons),BBC Typical offerAABB Typical offer,2016-08-03 20:26:02.517669,2016-08-03 20:26:02.517669,,,http://www.abertay.ac.uk/courses/ug/psycounsel/
445,Abertay University,Social Science,L300,2 - 3 Years,BA (Hons),,2016-08-03 20:26:02.531441,2016-08-03 20:26:02.531441,,,http://www.abertay.ac.uk/courses/ug/sosc/
446,Abertay University,Sociology,L3L0,4 Years,BA (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.543146,2016-08-03 20:26:02.543146,,,http://www.abertay.ac.uk/courses/ug/soc/
447,Abertay University,Sound and Music for Games,J930,2 Years,BA (Hons),,2016-08-03 20:26:02.555882,2016-08-03 20:26:02.555882,,,http://www.abertay.ac.uk/courses/ug/sound/
448,Abertay University,Sport & Exercise,C600,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.568602,2016-08-03 20:26:02.568602,,,http://www.abertay.ac.uk/courses/ug/spex/
449,Abertay University,Sport & Exercise,C600,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.580662,2016-08-03 20:26:02.580662,,,http://www.abertay.ac.uk/courses/ug/spex/
450,Abertay University,Sport & Exercise,C600,4 Years,BSc (Hons),CC Typical offerABBB Typical offer,2016-08-03 20:26:02.594462,2016-08-03 20:26:02.594462,,,http://www.abertay.ac.uk/courses/ug/spex/
451,Abertay University,Sport & Exercise,C600,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.606733,2016-08-03 20:26:02.606733,,,http://www.abertay.ac.uk/courses/ug/spex/
452,Abertay University,Sport & Exercise,C600,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.619004,2016-08-03 20:26:02.619004,,,http://www.abertay.ac.uk/courses/ug/spex/
453,Abertay University,Sport & Exercise,C600,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.631020,2016-08-03 20:26:02.631020,,,http://www.abertay.ac.uk/courses/ug/spex/
454,Abertay University,Accounting and Finance,NN43,4 Years,BA (Hons),CCC Typical offerBBC Typical offerBBBB Typical offer,2016-08-03 20:26:02.644059,2016-08-03 20:26:02.644059,,,http://www.abertay.ac.uk/courses/ugf/
455,Abertay University,Environmental Science and Technology,F571,4 Years,BSc (Hons),CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.658379,2016-08-03 20:26:02.658379,,,
456,Abertay University,Ethical Hacking,GG45,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.670675,2016-08-03 20:26:02.670675,,,http://www.abertay.ac.uk/courses/ug/ethhac/
457,Abertay University,Food and Consumer Sciences,DN69,4 Years,BSc (Hons),CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.683748,2016-08-03 20:26:02.683748,,,http://www.abertay.ac.uk/courses/ug/fcscience/
458,Abertay University,"Food, Nutrition and Health",BD46,4 Years,BSc (Hons),CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.696265,2016-08-03 20:26:02.696265,,,http://www.abertay.ac.uk/courses/ug/fnh/
459,Abertay University,Law,M114,4 Years,LLB (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.707934,2016-08-03 20:26:02.707934,,,http://www.abertay.ac.uk/courses/ug/law/
460,Abertay University,Marketing and Business,NN15,4 Years,BA (Hons),CCC Typical offerBBBB Typical offer,2016-08-03 20:26:02.720191,2016-08-03 20:26:02.720191,,,http://www.abertay.ac.uk/courses/ug/mb/
461,Abertay University,Psychology and Forensic Biology,C8F4,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.731536,2016-08-03 20:26:02.731536,,,http://www.abertay.ac.uk/courses/ug/forpsych/
462,Abertay University,Sport and Management,CN62,4 Years,BA (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.743495,2016-08-03 20:26:02.743495,,,http://www.abertay.ac.uk/courses/ug/sm/
463,Abertay University,Sport and Psychology,CC68,4 Years,BSc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.754988,2016-08-03 20:26:02.754988,,,http://www.abertay.ac.uk/courses/ug/spsy/
464,University of Dundee,Accountancy,N410,3 Years,BAcc,BBB Typical offerABBB Typical offer,2016-08-03 20:26:02.766396,2016-08-03 20:26:02.766396,,,
465,University of Dundee,Accountancy,N400,4 Years,BAcc (Hons),BBB Typical offerABBB Typical offer,2016-08-03 20:26:02.775235,2016-08-03 20:26:02.775235,,,http://www.dundee.ac.uk/undergraduate/coursesccountancy.htm
466,University of Dundee,Accountancy,N400,4 Years,BAcc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.786588,2016-08-03 20:26:02.786588,,,http://www.dundee.ac.uk/undergraduate/coursesccountancy.htm
467,University of Dundee,Accountancy,N400,4 Years,BAcc (Hons),BCC Typical offerABBB Typical offer,2016-08-03 20:26:02.798462,2016-08-03 20:26:02.798462,,,http://www.dundee.ac.uk/undergraduate/coursesccountancy.htm
468,University of Dundee,Adult Nursing,,3 Years,BSc,CC Typical offerCCC Typical offer,2016-08-03 20:26:02.810856,2016-08-03 20:26:02.810856,,,
469,University of Dundee,Anatomical Sciences,B110,4 Years,BSc (Hons),AAB Typical offerAABB Typical offer,2016-08-03 20:26:02.823135,2016-08-03 20:26:02.823135,,,http://www.dundee.ac.uk/study/ugnatomicalsciences/
470,University of Dundee,Anatomy (Intercalated),B111,1 Years,BMSc,,2016-08-03 20:26:02.836181,2016-08-03 20:26:02.836181,,,http://www.dundee.ac.uk/study/ugnatomy-intercalated/
471,University of Dundee,Animation,W280,3 Years,BDes (Hons),ABB Typical offer,2016-08-03 20:26:02.848837,2016-08-03 20:26:02.848837,,,
472,University of Dundee,Applied Computing,G410,4 Years,BSc (Hons),BBB Typical offerBBBC - ABBB Typical offer,2016-08-03 20:26:02.861078,2016-08-03 20:26:02.861078,,,
473,University of Dundee,Applied Computing (Games),3501,4 Years,BSc (Hons),,2016-08-03 20:26:02.874799,2016-08-03 20:26:02.874799,,,http://www.dundee.ac.uk/undergraduate/courses/co/computing_co.htm
474,University of Dundee,Applied Computing (Human Computer Interaction),I140,3 Years,BSc (Hons),ABB Typical offer,2016-08-03 20:26:02.886884,2016-08-03 20:26:02.886884,,,
475,University of Dundee,Applied Orthopaedic Technology (Intercalated),A901,1 Years,BMSc,,2016-08-03 20:26:02.899787,2016-08-03 20:26:02.899787,,,http://www.dundee.ac.uk/study/ugpplied-orthopaedic-technology-intercalated/
476,University of Dundee,Applied Physics,F311,4 Years,BSc (Hons),,2016-08-03 20:26:02.913000,2016-08-03 20:26:02.913000,,,http://www.dundee.ac.uk/study/ug/physics/
477,University of Dundee,Architecture,K100,6 Years,MArch,BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.926305,2016-08-03 20:26:02.926305,,,
478,University of Dundee,Architecture Studies,K103,5 Years,MArch,BBB Typical offerAABB Typical offer,2016-08-03 20:26:02.938490,2016-08-03 20:26:02.938490,,,
